Page width: 1695.0px  RESOLUTION: 4px/bucket
Total bboxes: 198  narrow (<=475px): 189
Histogram buckets: 425
Detected gutters (px): [194, 434, 818, 1022, 1274]

Bucket | Centre_px | Count | Bar
  324 |   1298.0 |     0 | 
  325 |   1302.0 |     0 | 
  326 |   1306.0 |     0 | 
  327 |   1310.0 |     0 | 
  328 |   1314.0 |     0 | 
  329 |   1318.0 |     0 | 
  330 |   1322.0 |     0 | 
  331 |   1326.0 |     0 | 
  332 |   1330.0 |     0 | 
  333 |   1334.0 |     1 | █
  334 |   1338.0 |     0 | 
  335 |   1342.0 |     0 | 
  336 |   1346.0 |     0 | 
  337 |   1350.0 |     0 | 
  338 |   1354.0 |     0 | 
  339 |   1358.0 |     0 | 
  340 |   1362.0 |     0 | 
  341 |   1366.0 |     0 | 
  342 |   1370.0 |     1 | █
  343 |   1374.0 |     0 | 
  344 |   1378.0 |     0 | 
  345 |   1382.0 |     0 | 
  346 |   1386.0 |     0 | 
  347 |   1390.0 |     0 | 
  348 |   1394.0 |     0 | 
  349 |   1398.0 |     0 | 
  350 |   1402.0 |     1 | █
  351 |   1406.0 |     0 | 
  352 |   1410.0 |     0 | 
  353 |   1414.0 |     0 | 
  354 |   1418.0 |     0 | 
  355 |   1422.0 |     0 | 
  356 |   1426.0 |     0 | 
  357 |   1430.0 |     0 | 
  358 |   1434.0 |     0 | 
  359 |   1438.0 |     0 | 
  360 |   1442.0 |     0 | 
  361 |   1446.0 |     0 | 
  362 |   1450.0 |     0 | 
  363 |   1454.0 |     1 | █
  364 |   1458.0 |     0 | 
  365 |   1462.0 |     0 | 
  366 |   1466.0 |     0 | 
  367 |   1470.0 |     1 | █
  368 |   1474.0 |     0 | 
  369 |   1478.0 |     4 | █████
  370 |   1482.0 |    31 | ████████████████████████████████████████
  371 |   1486.0 |     9 | ███████████
  372 |   1490.0 |     3 | ███
  373 |   1494.0 |     3 | ███
  374 |   1498.0 |     0 | 
  375 |   1502.0 |     0 | 
  376 |   1506.0 |     1 | █
  377 |   1510.0 |     0 | 
  378 |   1514.0 |     0 | 
  379 |   1518.0 |     0 | 
  380 |   1522.0 |     0 | 
  381 |   1526.0 |     0 | 
  382 |   1530.0 |     1 | █
  383 |   1534.0 |     0 | 
  384 |   1538.0 |     0 | 
  385 |   1542.0 |     0 | 
  386 |   1546.0 |     0 | 
  387 |   1550.0 |     0 | 
  388 |   1554.0 |     0 | 
  389 |   1558.0 |     0 | 
  390 |   1562.0 |     0 | 
  391 |   1566.0 |     0 | 
  392 |   1570.0 |     0 | 
  393 |   1574.0 |     0 | 
  394 |   1578.0 |     0 | 
  395 |   1582.0 |     0 | 
  396 |   1586.0 |     0 | 
  397 |   1590.0 |     0 | 
  398 |   1594.0 |     0 | 
  399 |   1598.0 |     0 | 
  400 |   1602.0 |     0 | 
  401 |   1606.0 |     0 | 
  402 |   1610.0 |     0 | 
  403 |   1614.0 |     0 | 
  404 |   1618.0 |     0 | 
  405 |   1622.0 |     0 | 
  406 |   1626.0 |     0 | 
  407 |   1630.0 |     0 | 
  408 |   1634.0 |     0 | 
  409 |   1638.0 |     0 | 
  410 |   1642.0 |     0 | 
  411 |   1646.0 |     0 | 
  412 |   1650.0 |     0 | 
  413 |   1654.0 |     1 | █
  414 |   1658.0 |     0 | 
  415 |   1662.0 |     0 | 
  416 |   1666.0 |     0 | 
  417 |   1670.0 |     0 | 
  418 |   1674.0 |     0 | 
  419 |   1678.0 |     0 | 
  420 |   1682.0 |     0 | 
  421 |   1686.0 |     0 | 
  422 |   1690.0 |     0 | 
  423 |   1694.0 |     0 | 
  424 |   1698.0 |     0 | 
